date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:14:07	58730/58730	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Mar%202020%2015:27:00%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.245310725.1448545266.1593162631-785317726.1592997815	C:/My%20Web%20Sites/Material%20Dashboard%20Pro/demos.creative-tim.com/material-dashboard-pro/examples/dashboard95f9.html	(from )
11:14:08	2170/2170	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2026%20Jun%202020%2009:14:06%20GMT	https://demos.creative-tim.com/robots.txt		(from )
11:14:08	2446/2446	---M--	200	added ('OK')	image/png	etag:%225e6ba644-98e%22	https://demos.creative-tim.com/material-dashboard-pro/assets/img/apple-icon.png	C:/My%20Web%20Sites/Material%20Dashboard%20Pro/demos.creative-tim.com/material-dashboard-pro/assets/img/apple-icon.png	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.245310725.1448545266.1593162631-785317726.1592997815)
11:14:08	2761/2761	---M--	200	added ('OK')	image/png	etag:%225e6ba644-ac9%22	https://demos.creative-tim.com/material-dashboard-pro/assets/img/favicon.png	C:/My%20Web%20Sites/Material%20Dashboard%20Pro/demos.creative-tim.com/material-dashboard-pro/assets/img/favicon.png	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.245310725.1448545266.1593162631-785317726.1592997815)
11:14:09	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2026%20Jun%202020%2009:14:07%20GMT	http://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html	C:/My%20Web%20Sites/Material%20Dashboard%20Pro/demos.creative-tim.com/material-dashboard-pro/examples/dashboard.4.delayed	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.245310725.1448545266.1593162631-785317726.1592997815)
11:14:09	58730/58730	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Mar%202020%2015:27:00%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html	C:/My%20Web%20Sites/Material%20Dashboard%20Pro/demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.245310725.1448545266.1593162631-785317726.1592997815)
11:14:10	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221518903977%22	https://maxcdn.bootstrapcdn.com/font-awesome/latest/css/font-awesome.min.css	C:/My%20Web%20Sites/Material%20Dashboard%20Pro/maxcdn.bootstrapcdn.com/font-awesome/latest/css/font-awesome.min.css	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.245310725.1448545266.1593162631-785317726.1592997815)
11:14:10	171778/171778	---M--	200	added ('OK')	image/jpeg	etag:%2249c99bc1b2c088d94746d3b55081f2ec%22	https://s3.amazonaws.com/creativetim_bucket/products/51/original/opt_mdp_thumbnail.jpg	C:/My%20Web%20Sites/Material%20Dashboard%20Pro/s3.amazonaws.com/creativetim_bucket/products/51/original/opt_mdp_thumbnail.jpg	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.245310725.1448545266.1593162631-785317726.1592997815)
11:14:10	511573/511573	---M-Z	200	added ('OK')	text/css	etag:W/%225e6ba644-7ce55%22	https://demos.creative-tim.com/material-dashboard-pro/assets/css/material-dashboard.min.css?v=2.1.2	C:/My%20Web%20Sites/Material%20Dashboard%20Pro/demos.creative-tim.com/material-dashboard-pro/assets/css/material-dashboard.min1c51.css	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.245310725.1448545266.1593162631-785317726.1592997815)
11:14:11	847/847	---M-Z	200	added ('OK')	text/css	etag:W/%225e6ba644-34f%22	https://demos.creative-tim.com/material-dashboard-pro/assets/demo/demo.css	C:/My%20Web%20Sites/Material%20Dashboard%20Pro/demos.creative-tim.com/material-dashboard-pro/assets/demo/demo.css	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html?_ga=2.245310725.1448545266.1593162631-785317726.1592997815)
